title,text,publish_date,url
No cattle market in Meradia ahead of Eid-ul-Azha: HC issues injunction,"With Eid-ul-Azha just around the corner, hundreds of people were seen gathered in close proximity at Golakandail Cattle Market yesterday. According to government instructions, Covid precautions were blasting through the mikes, but hardly any attendant paid attention to the warnings. This photo was taken in Narayanganj’s Araihazar upazila yesterday. Photo: Anisur Rahman

The High Court has issued injunction retraining the authorities concerned from setting up a cattle market in Meradia in the capital's Banasree area ahead of the upcoming Eid-ul-Azha.

The court also issued a rule asking the authorities concerned of the Dhaka South City Corporation and the government to explain why the decision for leasing out the Meradia area for cattle market should not be declared illegal.

The HC bench of Justice Kazi Zinat Hoque and Justice Aynun Nahar Siddiqua issued the order and rule on Monday following a writ petition challenging legality of the DSCC's lease notification.

Writ petitioner's lawyer Mohammad Khurram Shah Murad told The Daily Star that no cattle market can be established at Meradia following the HC order.

He said the DSCC published a lease notification on April 21 announcing the decision to set up a cattle market in Meradia.

Challenging this notification, Shahabuddin Shikder, a resident of Banasree, later filed the writ petition with the HC.

Banasree is a residential area, and if a cattle market is set up in Meradia, it will spread throughout the residential neighbourhood.

And this will cause severe suffering for the residents, the lawyer said.

Contacted, Assistant Attorney General JR Khan Robin said the government is yet to decide whether it will move an appeal before the Appellate Division of the Supreme Court challenging the HC order of injunction.",2025-04-29 23:54:51+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/no-cattle-market-meradia-ahead-eid-ul-azha-hc-issues-injunction-3883566
17 actors sued for ‘attempt to murder’,"Another actor assaulted, handed over to police

Seventeen actors were sued yesterday in a case filed over the July uprising, while another actor was handed over to police after being assaulted by a group of youths.

The accused include Nusraat Faria, Apu Biswas, Nipun Akter, Ashna Habib Bhabna, Zayed Khan, Suborna Mustafa, Rokeya Prachy, Sohana Saba, Meher Afroz Shaon, Jyotika Jyoti, Symon Sadik and Azizul Hakim.

Filed in March with the Chief Metropolitan Magistrate's Court of Dhaka, the case accuses the actors, ousted prime minister Sheikh Hasina, and 265 others of attempted murder.

The complainant, one Enamul Haque, claimed he was injured during student protests in Bhatara last year. After recording his statement, the court directed the officer-in-charge of Bhatara Police Station to register the complaint as a First Information Report.

Sujan Haque, inspector (investigation) of the station, told The Daily Star yesterday, ""We received a copy of the court's order today [yesterday]. Action is being taken accordingly.""

Meanwhile, actor Siddiqur Rahman Siddique was assaulted yesterday afternoon on the capital's Bailey Road by a group of youths who alleged he had ties to the Awami League. The group later handed him over to police.

Siddique, who was in custody at Ramna Police Station, was seen with torn clothes and bruises in a video that went viral on social media. A voice in the video can be heard calling him ""a supporter of the fascist regime"".

In another video, an attacker was heard saying, ""We are Habibullah Bahar [unit of] Chhatra Dal [the student wing of BNP]"".

Siddique had earlier collected a nomination form from the AL to contest the Dhaka-17 by-election in 2023, following the death of actor and MP Akbar Hossain Pathan Farooque, but did not receive the party's nomination.

Talebur Rahman, deputy commissioner (media) of Dhaka Metropolitan Police, said Siddique was handed over to Gulshan Police Station, where a case had previously been filed against him. He was shown arrested in that case.

Asked about the assault, the DC said, ""We discourage incidents like this. If we receive any specific complaints, we will take action.""",2025-04-30 02:48:10+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/17-actors-sued-attempt-murder-3883241
"SC acquits BNP leader Amanullah Aman, wife in graft case","The Appellate Division of the Supreme Court today acquitted BNP leader Amanullah Aman and his wife Sabera Aman in a corruption case filed by the Anti-Corruption Commission (ACC).

The apex court also scrapped a High Court verdict that had upheld a 13-year prison sentence for Aman and a three-year sentence for Sabera.

A three-member bench, led by Justice Md Ashfaqul Islam, delivered the verdict after hearing an appeal filed by the couple challenging the High Court judgement that had upheld their convictions.

The ACC filed the case on March 6, 2007, accusing the couple of amassing wealth illegally.

On June 21 that year, the couple were sentenced to prison.

On September 10, 2023 a Dhaka court sent Aman to jail rejecting his bail petition after he surrendered before it in the case.

His wife Sabera was sent to prison on September 3 of the same year, after she surrendered before the same court in the case.

Later, both Aman and Sabera secured bail from the Appellate Division in the case.",2025-04-30 11:23:29+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/sc-acquits-bnp-leader-amanullah-aman-wife-graft-case-3883786
July uprising: Rights bodies worried over false cases,"The success of the student-led mass uprising in July-August 2024 marks a decisive break from the trajectory of 'Hasinocratic' authoritarianism. FILE PHOTO: AFP

Human rights organisations yesterday expressed concern over implicating innocent persons in cases filed over the July uprising, saying that such actions, driven by malicious intent or harassment, amount to a violation of human rights.

In separate statements, Human Rights Forum Bangladesh (HRFB), a platform of several rights bodies, and Ain O Salish Kendra (ASK) demanded law enforcers drop the names of innocent persons, including actor Iresh Zaker, from the case filed recently over the killing of a person named Mahfuz Alam Shraban during last year's mass uprising.

Meanwhile, the Bangladesh Legal Aid and Services Trust (BLAST) demanded that law enforcers stop harassing individuals through politically motivated and indiscriminately filed cases, and instead ensure trial of the actual perpetrators.

""It is essential to ensure justice in the killing of Sharban, and at the same time, necessary and appropriate measures must be taken to ensure that those responsible don't go unpunished. Besides, the government is being urged to take effective steps to prevent anyone from being harassed through cases lodged with with malicious intent,"" HRFB said.

Implicating a large number of people in the cases will hinder both the investigation and the judicial process and delay the investigation reports, it added.

""In this context, it becomes evident that such cases are being filed with the intent to harass, which could have far-reaching consequences,"" it said, while urging utmost caution in accepting such cases.

The HRFB demanded withdrawal of cases, including the one filed against Zaker along with other professionals, non-political individuals, and ordinary people, following proper investigations.

It is also essential to conduct proper probes to identify those involved directly or indirectly in each killing, how they were involved, and under whose instructions these acts were done.

Filing serious charges like murder without any evidence is undoubtedly considered repressive.

""It is also unacceptable,"" the rights body said, adding that the situation is increasingly creating opportunities for both domestic and foreign actors to launch conspiratorial and misleading campaigns against the country's justice system.

The body demanded prompt investigations and trials of the killings of the July uprising as well as an inquiry and action against those who are misusing the law in this manner.

Meanwhile, ASK said the ordinary people have the right to file cases over the murders during the July uprising, but deliberately implicating persons with the intent to harass is a violation of human rights.

The purpose of the law is to protect the rights of citizens. However, the use of law to harass innocent people through such politically motivated cases is unacceptable, it added.

Echoing similar concerns, BLAST said politically motivated cases and mass arrests are undermining justice and called for urgent reforms to ensure fair investigations based on credible evidence. It also urged swift justice for genocide and gross human rights violations during the July-August uprising.

Referring to the murder case of Shrabon where 408 individuals, including Zaker and several journalists, were accused, the rights body criticised the filing of such a first information report without credible evidence or specific links to the incident.

The rights body also warned that similar practices were seen during previous governments, where accountability was lacking, and called for an urgent reform of such procedures.",2025-04-30 00:01:13+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/july-uprising-rights-bodies-worried-over-false-cases-3883401
Young man detained over death of JnU student,"Police have detained a person in connection with the death of a Jagannath University student, who was found hanging in a mess in Old Dhaka's Sutrapur area yesterday evening.

The girl was initially rescued by a friend and taken to the National Medical Institute before being transferred to Sir Salimullah Medical College Mitford Hospital, where on-duty doctors declared her dead, said Saiful Islam, officer-in-charge (OC) of Sutrapur Police Station.

""The young man who brought her to the hospital was taken into custody due to suspicious circumstances,"" he added.

Initial medical observations suggest she died by hanging, said Dr Rajib, duty doctor of Sir Salimullah Medical College Mitford Hospital.

Prof Dr Tazammol Hoque, a proctor of Jagannath University, said, ""As the youth was present at the scene and took her to the hospital, he was detained. The family has been informed and legal procedures are underway.""

A messmate of the deceased told this correspondent, ""I wasn't in the mess when it happened. I rushed to the hospital after getting a call.""

""If the family files a case, we will take necessary action following an investigation,"" the OC added.",2025-04-30 12:34:29+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/young-man-detained-over-death-jnu-student-3883831
Schoolboy found dead in Chattogram; 4 classmates detained,"Police recovered the body of a class seven student from a char area in Chattogram this morning, 20 hours after he went missing from school.

Locals in the city's Hamid Char area found the body along the bank of the Karnaphuli river this morning and informed police, said family members.

Police detained four of his classmates in connection with the incident, said Arif Hossen, assistant commissioner (Panchlaish) of the Chattogram Metropolitan Police.

The victim, Rahat Khan, was a student of Sanowara Islam Boys High School. Rahat was the younger son of Liakat Ali, a resident of Purba Faridapara in Chandgaon area of the port city.

AC Arif Hossen told The Daily Star, ""Rahat's parents informed police about him going missing yesterday afternoon. Police investigated the matter and learned that the boy along with four other classmates had left the school before going missing.""

He said, ""Among the four detainees, one had been involved in a brawl with the victim nearly a month ago over a trivial matter in school, and Rahat's mother had resolved the issue at that time. The family members alleged that, over this issue, the victim was brought away from school in the name of playing near the river and later murdered.""

""Police interrogated the classmates, who admitted to taking the victim to the area. Police later conducted a raid but failed to trace the victim's whereabouts last night,"" he added.

He further said, ""We have collected the CCTV footage and investigated the matter. Primarily, we detained the four classmates, and they will be shown arrested in the case.""

""The body was sent to Chittagong Medical College Hospital morgue, where the cause of death will be determined,"" he added.

Rahat's cousin, Adnanul Alam, said, ""Rahat's mother went to the school around 2:30pm as he (Rahat) did not return on time. In the meantime, his school bag was found near the Hamid Char Road from where a pedestrian informed his teacher that the bag was found on the road.""

Alam said, ""After getting the phone call, we checked the school's CCTV footage and found that four other classmates took him out of the school. Rahat's mother identified a classmate who had a brawl with Rahat a few days ago. Taking his address, we went to the boy's residence and found the boy at his house. Later we informed police, who took the boy into custody, and then he revealed the location.""

""At night, we searched the area but failed to find Rahat as there was tidal water. The classmates informed us that Rahat had drowned in the river, but we don't believe them as they provided mismatched statements during interrogation. This morning, locals spotted the body in the char area and informed police,"" he added.",2025-04-30 17:17:35+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/schoolboy-found-dead-chattogram-4-classmates-detained-3884021
Actor Siddique assaulted on Bailey Road,"A group of youths assaulted actor Siddiqur Rahman Siddique alleging that he had ties with Awami League in the capital's Bailey Road area this afternoon and later handed him over to police.

Siddique was under the custody of Ramna Police Station, confirmed its Sub-Inspector Jalal Uddin.

According to witnesses and police, some youths stopped Siddique in the Bailey Road area while he was on his way and allegedly assaulted him before turning him in.

A video of the incident, which went viral on social media, shows him with torn clothing and bruises. A person can be heard saying that he was ""a supporter of the fascist regime"".

Photo: Screenshot

Siddique had earlier collected a nomination form from Awami League to contest the Dhaka-17 by-election following the death of MP and veteran actor Akbar Hossain Pathan Farooque in 2023.

However, he did not receive the party's nomination at the time.

Talebur Rahman, deputy commissioner (media) of Dhaka Metropolitan Police, said that Siddiqur has been handed over to the Gulshan Police Station.

There is a pre-existing case against him there and he was shown arrested in the case, the DC said.

Asked if the police will take any measures against those responsible for the assault, he said, ""We discourage incidents like this. If we get any specific complaints about this incident, we will take action.""",2025-04-29 19:04:09+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/actor-siddique-assaulted-bailey-road-3883121
Former BNP lawmaker Shahrin Islam sent to jail after surrender in two cases,"Shahrin Islam Chowdhury Tuhin, former BNP lawmaker from Nilphamari-1, was sent to jail today after his surrender before two separate Dhaka courts in two cases in which he was sentenced to 21 years in prison.

Shahrin Islam, also a former president of BNP's Nilphamari district unit, was sentenced to eight years imprisonment in a tax evasion case on January 21, 2008. On the other hand, he was sentenced to 13 years in jail on September 11, 2008 in another case filed over amassing wealth illegally and concealing wealth statement to the Anti-Corruption Commission.

The lower courts handed down the sentences to him in his absence in the two cases filed in 2007.

Today, Judge Kabir Uddin Pramanik of Dhaka Special Judge's Court-9 ordered police to send Shahrin Islam to jail when he surrendered in the tax evasion case.

After that, he also surrendered before Dhaka's Special Judge Court-7 and sought bail in the corruption case, but the court's Judge Prodip Kumar Roy dismissed his bail petition and ordered police to send him to prison.

Shahrin Islam, also a nephew of BNP Chairperson Khaleda Zia, returned to Bangladesh from abroad on April 22, around 17 years after going into hiding during the rule of the army-backed caretaker government in 2007.",2025-04-29 16:04:04+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/former-bnp-lawmaker-shahrin-islam-sent-jail-after-surrender-two-cases-3883026
CMC student murder: HC asks 12 acquitted accused to surrender in 30 days,"The High Court today ordered 12 individuals, who were previously acquitted in a case filed over the killing of Chittagong Medical College (CMC) student Abidur Rahman Abid 14 years ago to surrender before the lower court concerned within 30 days.

The HC also stayed the trial court verdict that in 2019 acquitted all 12 accused in the case and issued a rule asking the officials concerned of the state to explain why the trial court judgment of acquittal should not be scrapped.

The HC bench of Justice Md Zakir Hossain and Justice Sayed Jahed Mansur issued the order and rule after hearing a revision petition filed by the complainant of the case, seeking necessary directives.

Abid, a third-year Bachelor of Dental Surgery (BDS) student from CMC's 51st batch, was allegedly beaten to death in 2011 for his alleged involvement with Jatiyatabadi Chhatra Dal, the student wing of the BNP.

The accused were reportedly leaders and activists of the then Chhatra League.

The revision petition was filed by Abid's uncle, Neyamat Ullah, who had lodged the murder case with Panchlaish Police Station.

Initially, 22 individuals were made accused in the murder case. However, police pressed charges against 12 after investigation.

On July 10, 2019, the Additional Metropolitan Sessions Judge's Court in Chattogram acquitted all the accused.

The 12 accused now ordered to surrender are: former CMC's central student union vice president Mofizur Rahman Jumma, CMC unit BCL president Sohel Parvez Sumon, general secretary Bijoy Sarkar, joint secretary Himel Chakma, Ferdous Rasel, Shanto Debnath, Mahafuzur Rahman Dhiman, Nasir Uddin Patuwari, Debashish Chakraborty, Mostafa Kamal, Rashedur Reza Sani and Salman Mahmud Rafsan.

Following Abid's death, students of CMC staged protests on campus, prompting the college administration to close the institution indefinitely and suspend all student union and political activities.

Abid's family alleged that Abid had been beaten multiple times by BCL activists amid tensions surrounding the formation of a Chhatra Dal committee at the college. He died on October 21, 2011, while undergoing medical treatment.

Confirming the HC order, petitioner's lawyer Mohammad Shishir Manir told The Daily Star that that the ruling reflects a move toward justice in a politically sensitive case.

He said the accused persons highly inclined the administration of justice in the subordinate court and obtained the order of acquittal.

Advocate Md Ozi Ullah and Advocate Azim Uddin Patwari also appeared for the petitioner while Deputy Attorney General Md Ershadul Bari Khandakar represented the state during hearing.",2025-04-29 22:04:47+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/cmc-student-murder-hc-asks-12-acquitted-accused-surrender-30-days-3883561
Magura rape and murder: 10 witnesses testify before court,"Ten witnesses testified before a local court in connection with the case filed over the rape and murder of an eight-year-old child in Magura.

Magura Women and Children Repression Prevention Tribunal Judge M Zahid Hasan recorded the testimonies of the witnesses.

All the four accused, Hitu Sheikh, his wife Zaheda Begum and their two sons -- Ratul Sheikh and Sajeeb Sheikh, were produced before the court amid tight security.

Advocate Sohel Ahmed stood for the petitioner while Advocate Manirul Islam Mukul represented the state.

Earlier yesterday, three witnesses testified before the court in connection with the case.

Police submitted the charge sheet in the case on April 13, one month after the child's death.

The victim died at Combined Military Hospital in Dhaka on March 13, a week after she was raped.

The rape and death of the girl sparked widespread protests across the country.",2025-04-29 18:21:37+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/magura-rape-and-murder-10-witnesses-testify-court-3883096
Ex-CTTC official arrested over crimes against humanity during July uprising,"A former additional deputy commissioner of the Counter Terrorism and Transnational Crime (CTTC) unit of Dhaka Metropolitan Police (DMP) was arrested today in connection with alleged crimes against humanity committed during the July mass uprising.

Ishtiaq Ahmed, currently serving as additional superintendent of police at the Police Specialised Training School in Betbunia, Rangamati, was detained from his workplace following an arrest warrant issued by the International Crimes Tribunal (ICT), confirmed a top official at the training school.

A team of ICT investigators, accompanied by police, took Ishtiaq into custody and brought him to Dhaka.

He was produced before the tribunal, which ordered that he be sent to jail.

ICT investigators claimed that during initial interrogation, Ishtiaq confessed to deploying drones to conduct aerial surveillance and capture footage over several key areas during the July uprising. This was reportedly done under direct instructions from the then chief of the CTTC unit.

However, he later deleted the footage following further orders, which, according to the prosecution, constitutes a criminal offence.

""Ishtiaq identified two civilians who were actively involved in the operation of drones during the aforesaid period. They provided drone shots regularly, although they were neither formally engaged nor authorised under official protocols. Their associated institutions are also under preliminary review,"" said an investigator.",2025-04-29 18:24:07+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/ex-cttc-official-arrested-over-crimes-against-humanity-during-july-uprising-3883101
Crime & Justice,"Three individuals named as witnesses in the case filed over the killing of Mahfuz Alam Shraban during last year’s mass uprising said they were unaware of being listed as witnesses.

4d ago",,https://www.thedailystar.net/news/bangladesh/crime-justice?page=3
Youth shot dead trying to prevent abduction attempt,"A man was shot dead by armed assailants in Begumganj upazila last night after he tried to prevent an abduction attempt.

The victim is Md Shakil, 31, of the upazila. He was a Thai-glass technician.

The incident occurred around 8:00pm in front of Islamia Market in Gangabar Bazaar under Chayani union.

Witnesses said nine armed men arrived at the scene in a CNG-run auto-rickshaw and attempted to forcibly abduct a local youth named Labib. Shakil and others intervened, leading to the assailants opening fire. Shakil was struck in the chest and head, collapsing on the spot. His brother, Shuvo, who tried to save him, was also fired at but the bullet missed him. However, he was injured when the attackers hit him with a pistol.

Locals chased the assailants and managed to detain three of them, and later handed them over to police.

They are reportedly in critical condition following a mob beating.

Shakil and Shuvo were rushed to Noakhali General Hospital, where doctors declared Shakil dead upon arrival. According to hospital records, Shakil was brought in at 8:35pm with gunshot wounds to his chest and head.

Inspector (Investigation) Md Habibur Rahman of Begumganj Model Police Station confirmed the incident and said, ""Three armed suspects have been detained by locals. We are working to rescue them and investigate the matter further.""",2025-04-29 01:17:17+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/youth-shot-dead-trying-prevent-abduction-attempt-3882711
2 accused escape police custody in Ctg,"Two accused escaped from police custody in Chattogram's court building area this afternoon. However, the incident came to light when the prison van carrying inmates reached Chattogram Central Jail.

The escapees are Iqbal Hossain Imon, accused in a murder case with Lohagara Police Station, and Anwar Hossain, accused in a drugs case with Sitakunda Police Station, said police.

Confirming the matter to The Daily Star, Asaduzzaman Rana, Chattogram additional superintendent (admin) of police, said, ""A total of 42 accused were put into the prison van from the court building's jail on the ground floor. However, the duo managed to escape from police custody by loosening the handcuff. The matter came to our notice when prison guards received the accused in the jail.""

""We are trying to arrest the duo. A case will be filed with Kotwali Police Station in this regard,"" said the police official.",2025-04-29 21:26:11+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/2-accused-escape-police-custody-ctg-3883261
Body of a man found in Faridpur 2 days after going missing,"Police recovered the body of a man from a wetland in the Kathrakandi Beel area under Faridpur's Madhukhali upazila today, two days after he had gone missing.

The deceased, Sheikh Al Kalam Azad, 58, was an English teacher at Charbamundi Yasin Ali Dakhil Madrasa in the upazila's Megchami union.

Azad was also the father of Tanvir Ahmed Shimul, member secretary of the BNP's affiliated farmers' wing, Krishak Dal, in Madhukhali.

Shimul said his father had gone missing from Bil-Aralia Bazar around 6:00pm on April 27. A general diary (GD) was filed with Madhukhali Police Station the following day.

Madhukhali Police Station Officer-in-Charge Md Nuruzzaman confirmed the recovery and said three people had been detained for questioning.

Based on the GD, police had launched an investigation and detained Azad's second wife, Tithi Akter, 28, her mother Rafeza Begum, 48, and one Rasel Sheikh, 28, for questioning.

Acting on a tip-off, police conducted a drive around 1:30pm today in Kathrakandi beel area under Jaharpur union and recovered the body. Injury marks were found near the right ear of the deceased, said the OC.

The body was sent to the morgue at Faridpur Medical College Hospital for autopsy, he added.

Shimul alleged that his father had been killed in a premeditated manner and the body was dumped afterwards.",2025-04-29 18:29:37+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/body-man-found-faridpur-2-days-after-going-missing-3883106
Barishal ‘gunfight’: Locals contradict Rab claims,"Victims had no criminal records

Police have not found any prior criminal records of the two students shot in a ""gunfight"" with the Rapid Action Battalion during an anti-narcotics drive in Barishal's Agailjhara upazila on April 21.

One of them, Siam Molla, an 11th-grade student of Karfa Ideal College, was killed while the other, SSC examinee Rakib Molla, was critically injured.

Siam was 17 years old, and Rakib is 18, according to their birth certificates.

Rab-8, however, in the first information report (FIR) filed with Agailjhara Police Station on April 22, claimed both were 20 years old.

Rakib is now undergoing treatment at Sher-e-Bangla Medical College Hospital in Barishal.

We have not yet obtained any information that Siam and Rakib were involved in drug dealings. — Milton Mondal sub-inspector of Agoiljhara Police Station

According to the FIR, the Rab conducted the drive at a graveyard in Dakshin Mollapara village under Ratnapur Union at 5:40pm on a tip-off that some people gathered there to trade drugs.

The Rab said in the FIR that its personnel nabbed Siam and Rakib, and found 393 Yaba pills on them while the other suspects fled the scene.

It said the other suspects returned to help Siam and Rakib when they started shouting during the arrest. The Rab members chased Siam and Rakib after they resisted arrest and ran away. At one stage, Siam and Rakib hit two Rab members with sticks and injured them critically, the FIR said.

It said that when someone from the suspects opened fire, one of the Rab members fired five warning shots in the air, and the suspects fled. The Rab said it rescued the two injured members and later heard that Siam died at Gournadi Health Complex after being critically injured.

Based on the FIR, the Rab filed a case against the duo and 10 to 15 others on drug-related charges. Another case was filed against the fugitive suspects on charges of obstruction of government duties and murder.

FIR WITNESS 'WAS NOT ON SPOT'

The FIR stated that a witness named Sukdeb Baroi, a local union council member, was present on the spot when the Rab searched Siam and Rakib.

When contacted last night, Sukdeb said that he had witnessed no such thing.

""I have not seen the boys, or the dead body. I was not on the spot in the evening, when this incident was said to have occurred. I was called around 11:00pm at night because I am the union parishad member. When I reached there, I only saw shoes lying about,"" said Sukdeb.

He said that he does not even know Siam and Rakib, and he agreed to be a witness because he was asked.

WHAT LOCALS SAY

Conversations with over two dozen locals during a visit to the spot on April 26 revealed that the area where the drive was conducted is known as a drug spot.

Locals, however, said they had not seen Siam or Rakib engaging in any drug-related activities.

Titu Hawlader, who lives near the graveyard, told this newspaper that on the day of the incident, a group led by a local man with reported links to drug-related activities arrived at the graveyard before Maghrib prayers.

Siam and Rakib were chatting at a nearby shop, Titu said.

At the time, some plainclothes Rab personnel surrounded the spot, but the local man leading the group at the graveyard started shouting ""robber, robber"", Titu said.

""Siam and Rakib, along with eight to 10 other people, rushed to the scene after hearing the shouts. The locals then got engaged in a scuffle with the Rab members in plainclothes,"" he said.

Titu's wife Mitu Akter said at one point during the scuffle, the Rab members opened fire, and the locals fled.

Locals said Rakib fell into a pond but managed to swim ashore after being shot.

They said he was first taken to Gournadi Upazila Health Complex and later transferred to Sher-e-Bangla Medical College Hospital, where he underwent surgery at 11:00pm on the same day.

The hospital's Assistant Surgeon Akram Hossain said Rakib was shot in the abdomen.

Meanwhile, according to a death certificate obtained from Gournadi Health Complex, Siam was declared dead on arrival around 6:30pm that day.

Family members described Siam as a quiet student who spent most of his time at home or studying. ""Siam had no involvement with drugs or crimes. He was simply at the wrong place at the wrong time,"" said his cousin Mim Akter.

Rakib's sister-in-law Nasrin Begum echoed similar sentiments, saying, ""Doctors have forbidden him from talking, but it's clear from the circumstances that he was not involved in any wrongdoing.""

The locals demonstrated in front of Saheberhat Secondary School on April 23 against the killing of Siam. ""We want justice,"" said his cousin Mim.

WHAT POLICE SAY

Sub-Inspector (SI) Milton Mondal of Agailjhara Police Station, who is investigating the drug recovery case, told The Daily Star, ""We have not yet obtained any information that Siam and Rakib were involved in drug dealings.""

Milton also said that they did not find any evidence that Siam and Rakib used firearms. ""But our investigation is underway,"" he added.

SI Abbas Uddin of the police station, who is investigating the other case, told this newspaper that no prior criminal records were found on the two students.

Oliul Islam, officer-in-charge of Agailjhara Police Station, said the Rab had not informed the police about the drive beforehand.

""We had no prior knowledge about Rab's raid,"" he said.

Contacted, Senior Warrant Officer Sheikh Riazul Islam of Rab-8, also the complainant of the case, declined to comment on a matter under investigation. He suggested contacting higher authorities for queries.

Rab-8 Deputy Commander Major Mahmudul Ahsan told The Daily Star, ""An investigation is ongoing. So far, no confirmed criminal record has been found against Siam and Rakib.""",2025-04-29 01:01:48+06:00,https://www.thedailystar.net/news/bangladesh/crime-justice/news/barishal-gunfight-locals-contradict-rab-claims-3882726
7-year-old girl found 'murdered' in an abandoned house in Chattogram,"Her family also went out to look for her at night, but could not find her.

Prompted by a call from a few locals on Sunday, officers of Bandar Police Station went to Port Colony and recovered the girl's body, said Shakila.

The body has been sent to a hospital morgue for autopsy and the results will reveal the cause of death, she added.",,https://bdnews24.com/crime/po8ov3wejn
"4-month-old infant killed in Dhaka, police suspect 6-year-old brother","A four-month-old child has been killed in Dhaka’s Pallabi. Police believe his six-year-old brother is responsible for the murder.

The victim was identified as Md Yasin.

The incident occurred near the Muslim Bazar water tank in Mirpur-12’s ‘D’ Block, said Md Parvez Islam, chief of Pallabi Police Station.",,https://bdnews24.com/crime/lvripcht5x
Three get death for murder in Brahmanbaria,"A Brahmanbaria court has sentenced three people to death and jailed another for life over the murder of Sharif Khan, a native of Akhaura's Chanpur village, in 2015.

District and Sessions Judge Sharmin Nigar passed the verdict on Monday.

The capital punishment recipients are the victim's neighbour Zakir Khan, Mahbub Khan and Gazi Khan. But all three convicts are absconding.",,https://bdnews24.com/crime/c9spwc9oy9
"Court sends policeman, 2 others to jail for planting drugs on pedestrian","A court has sent Pallabi Police Station's Assistant Sub-Inspector Mahbubul Alam and two others to jail amid allegations that they entrapped a pedestrian by planting narcotics in his pocket. Dhaka Metropolitan Magistrate Ataullah rejected their bail petition on Sunday after they were presented in court at the end of a two-day remand in police custody for interrogation. The other two suspects are Md Rubel and Md Sohel Rana.

The case's investigation officer, SI Md Anowar Hossain of Cantonment Police Station, brought the three suspects to court and petitioned for them to remain in jail. The suspects’ lawyers – Shafiqur Rahman and Mohammad Anisuzzaman – petitioned for bail on their behalf. The defence said the case was the result of a ""misunderstanding"", while the state argued that the incident tarnished the image of the police. On Sept 8, the three suspects were remanded into police custody for two days.",,https://bdnews24.com/crime/c964txeabl
Ex-SP Babul Akter moves to sue police over alleged torture,"Babul Akter, a former superintendent of police suspected of masterminding the murder of his wife Mahmuda Akter Mitu, has moved a court to file a case against six police officers, including the chief of the Police Bureau of Investigation (PBI), for torturing him to ‘extract a confession'.

His lawyers filed the petition with Chattogram Metropolitan Sessions Judge Jebunnessa Begum on Thursday.

Akter complained the police tortured him on many occasions after taking him into their custody and tried to extract a confession from him over the murder of his wife, lawyer Kafiluddin Chowdhury said.",,https://bdnews24.com/crime/921sp87anb
